(10000, 4) (10000, 1) (10000, 5)
(583, 5)
(65, 5)
(3833, 5)
(3066, 5) (383, 5) (384, 5)
Number of parameters: 20801
Training ...
Epoch [1 / 5000] train loss: 0.160603, val loss: 0.125859
Epoch [2 / 5000] train loss: 0.127911, val loss: 0.097588
Epoch [3 / 5000] train loss: 0.099560, val loss: 0.072758
Epoch [4 / 5000] train loss: 0.074600, val loss: 0.052072
Epoch [5 / 5000] train loss: 0.053769, val loss: 0.036734
Epoch [6 / 5000] train loss: 0.038238, val loss: 0.028242
Epoch [7 / 5000] train loss: 0.029470, val loss: 0.027361
Epoch [8 / 5000] train loss: 0.028237, val loss: 0.032706
Epoch [9 / 5000] train loss: 0.033188, val loss: 0.038881
Epoch [10 / 5000] train loss: 0.039066, val loss: 0.041597
Epoch [11 / 5000] train loss: 0.041649, val loss: 0.040467
Epoch [12 / 5000] train loss: 0.040523, val loss: 0.037051
Epoch [13 / 5000] train loss: 0.037184, val loss: 0.032957
Epoch [14 / 5000] train loss: 0.033222, val loss: 0.029393
Epoch [15 / 5000] train loss: 0.029815, val loss: 0.026965
Epoch [16 / 5000] train loss: 0.027552, val loss: 0.025822
Epoch [17 / 5000] train loss: 0.026566, val loss: 0.025745
Epoch [18 / 5000] train loss: 0.026618, val loss: 0.026350
Epoch [19 / 5000] train loss: 0.027305, val loss: 0.027184
Epoch [20 / 5000] train loss: 0.028192, val loss: 0.027885
Epoch [21 / 5000] train loss: 0.028927, val loss: 0.028262
Epoch [22 / 5000] train loss: 0.029315, val loss: 0.028257
Epoch [23 / 5000] train loss: 0.029302, val loss: 0.027898
Epoch [24 / 5000] train loss: 0.028922, val loss: 0.027288
Epoch [25 / 5000] train loss: 0.028275, val loss: 0.026582
Epoch [26 / 5000] train loss: 0.027509, val loss: 0.025930
Epoch [27 / 5000] train loss: 0.026792, val loss: 0.025442
Epoch [28 / 5000] train loss: 0.026229, val loss: 0.025178
Epoch [29 / 5000] train loss: 0.025885, val loss: 0.025153
Epoch [30 / 5000] train loss: 0.025782, val loss: 0.025318
Epoch [31 / 5000] train loss: 0.025871, val loss: 0.025575
Epoch [32 / 5000] train loss: 0.026062, val loss: 0.025815
Epoch [33 / 5000] train loss: 0.026252, val loss: 0.025945
Epoch [34 / 5000] train loss: 0.026350, val loss: 0.025922
Epoch [35 / 5000] train loss: 0.026316, val loss: 0.025745
Epoch [36 / 5000] train loss: 0.026147, val loss: 0.025468
Epoch [37 / 5000] train loss: 0.025887, val loss: 0.025152
Epoch [38 / 5000] train loss: 0.025599, val loss: 0.024858
Epoch [39 / 5000] train loss: 0.025343, val loss: 0.024639
Epoch [40 / 5000] train loss: 0.025162, val loss: 0.024519
Epoch [41 / 5000] train loss: 0.025078, val loss: 0.024483
Epoch [42 / 5000] train loss: 0.025067, val loss: 0.024495
Epoch [43 / 5000] train loss: 0.025094, val loss: 0.024515
Epoch [44 / 5000] train loss: 0.025121, val loss: 0.024515
Epoch [45 / 5000] train loss: 0.025120, val loss: 0.024481
Epoch [46 / 5000] train loss: 0.025077, val loss: 0.024404
Epoch [47 / 5000] train loss: 0.024990, val loss: 0.024308
Epoch [48 / 5000] train loss: 0.024880, val loss: 0.024212
Epoch [49 / 5000] train loss: 0.024767, val loss: 0.024135
Epoch [50 / 5000] train loss: 0.024667, val loss: 0.024071
Epoch [51 / 5000] train loss: 0.024578, val loss: 0.024026
Epoch [52 / 5000] train loss: 0.024503, val loss: 0.023993
Epoch [53 / 5000] train loss: 0.024440, val loss: 0.023971
Epoch [54 / 5000] train loss: 0.024388, val loss: 0.023933
Epoch [55 / 5000] train loss: 0.024329, val loss: 0.023897
Epoch [56 / 5000] train loss: 0.024273, val loss: 0.023868
Epoch [57 / 5000] train loss: 0.024223, val loss: 0.023829
Epoch [58 / 5000] train loss: 0.024167, val loss: 0.023783
Epoch [59 / 5000] train loss: 0.024107, val loss: 0.023729
Epoch [60 / 5000] train loss: 0.024043, val loss: 0.023667
Epoch [61 / 5000] train loss: 0.023973, val loss: 0.023604
Epoch [62 / 5000] train loss: 0.023901, val loss: 0.023543
Epoch [63 / 5000] train loss: 0.023829, val loss: 0.023480
Epoch [64 / 5000] train loss: 0.023756, val loss: 0.023415
Epoch [65 / 5000] train loss: 0.023680, val loss: 0.023357
Epoch [66 / 5000] train loss: 0.023605, val loss: 0.023308
Epoch [67 / 5000] train loss: 0.023538, val loss: 0.023261
Epoch [68 / 5000] train loss: 0.023473, val loss: 0.023216
Epoch [69 / 5000] train loss: 0.023411, val loss: 0.023172
Epoch [70 / 5000] train loss: 0.023348, val loss: 0.023123
Epoch [71 / 5000] train loss: 0.023281, val loss: 0.023069
Epoch [72 / 5000] train loss: 0.023209, val loss: 0.023015
Epoch [73 / 5000] train loss: 0.023137, val loss: 0.022972
Epoch [74 / 5000] train loss: 0.023076, val loss: 0.022932
Epoch [75 / 5000] train loss: 0.023019, val loss: 0.022892
Epoch [76 / 5000] train loss: 0.022962, val loss: 0.022849
Epoch [77 / 5000] train loss: 0.022901, val loss: 0.022803
Epoch [78 / 5000] train loss: 0.022837, val loss: 0.022758
Epoch [79 / 5000] train loss: 0.022772, val loss: 0.022726
Epoch [80 / 5000] train loss: 0.022715, val loss: 0.022692
Epoch [81 / 5000] train loss: 0.022659, val loss: 0.022649
Epoch [82 / 5000] train loss: 0.022599, val loss: 0.022602
Epoch [83 / 5000] train loss: 0.022537, val loss: 0.022550
Epoch [84 / 5000] train loss: 0.022473, val loss: 0.022496
Epoch [85 / 5000] train loss: 0.022409, val loss: 0.022446
Epoch [86 / 5000] train loss: 0.022345, val loss: 0.022396
Epoch [87 / 5000] train loss: 0.022279, val loss: 0.022349
Epoch [88 / 5000] train loss: 0.022212, val loss: 0.022305
Epoch [89 / 5000] train loss: 0.022148, val loss: 0.022260
Epoch [90 / 5000] train loss: 0.022085, val loss: 0.022213
Epoch [91 / 5000] train loss: 0.022021, val loss: 0.022163
Epoch [92 / 5000] train loss: 0.021955, val loss: 0.022119
Epoch [93 / 5000] train loss: 0.021893, val loss: 0.022069
Epoch [94 / 5000] train loss: 0.021827, val loss: 0.022026
Epoch [95 / 5000] train loss: 0.021763, val loss: 0.021989
Epoch [96 / 5000] train loss: 0.021704, val loss: 0.021952
Epoch [97 / 5000] train loss: 0.021643, val loss: 0.021915
Epoch [98 / 5000] train loss: 0.021582, val loss: 0.021878
Epoch [99 / 5000] train loss: 0.021521, val loss: 0.021835
Epoch [100 / 5000] train loss: 0.021458, val loss: 0.021792
Epoch [101 / 5000] train loss: 0.021394, val loss: 0.021753
Epoch [102 / 5000] train loss: 0.021330, val loss: 0.021709
Epoch [103 / 5000] train loss: 0.021262, val loss: 0.021671
Epoch [104 / 5000] train loss: 0.021200, val loss: 0.021632
Epoch [105 / 5000] train loss: 0.021138, val loss: 0.021597
Epoch [106 / 5000] train loss: 0.021082, val loss: 0.021554
Epoch [107 / 5000] train loss: 0.021019, val loss: 0.021505
Epoch [108 / 5000] train loss: 0.020954, val loss: 0.021458
Epoch [109 / 5000] train loss: 0.020890, val loss: 0.021408
Epoch [110 / 5000] train loss: 0.020825, val loss: 0.021369
Epoch [111 / 5000] train loss: 0.020773, val loss: 0.021333
Epoch [112 / 5000] train loss: 0.020723, val loss: 0.021295
Epoch [113 / 5000] train loss: 0.020671, val loss: 0.021253
Epoch [114 / 5000] train loss: 0.020616, val loss: 0.021213
Epoch [115 / 5000] train loss: 0.020562, val loss: 0.021168
Epoch [116 / 5000] train loss: 0.020504, val loss: 0.021121
Epoch [117 / 5000] train loss: 0.020443, val loss: 0.021054
Epoch [118 / 5000] train loss: 0.020367, val loss: 0.020960
Epoch [119 / 5000] train loss: 0.020281, val loss: 0.020902
Epoch [120 / 5000] train loss: 0.020228, val loss: 0.020851
Epoch [121 / 5000] train loss: 0.020162, val loss: 0.020814
Epoch [122 / 5000] train loss: 0.020102, val loss: 0.020788
Epoch [123 / 5000] train loss: 0.020044, val loss: 0.020756
Epoch [124 / 5000] train loss: 0.019979, val loss: 0.020731
Epoch [125 / 5000] train loss: 0.019922, val loss: 0.020702
Epoch [126 / 5000] train loss: 0.019867, val loss: 0.020635
Epoch [127 / 5000] train loss: 0.019787, val loss: 0.020578
Epoch [128 / 5000] train loss: 0.019720, val loss: 0.020532
Epoch [129 / 5000] train loss: 0.019661, val loss: 0.020484
Epoch [130 / 5000] train loss: 0.019600, val loss: 0.020436
Epoch [131 / 5000] train loss: 0.019535, val loss: 0.020387
Epoch [132 / 5000] train loss: 0.019467, val loss: 0.020338
Epoch [133 / 5000] train loss: 0.019400, val loss: 0.020295
Epoch [134 / 5000] train loss: 0.019345, val loss: 0.020247
Epoch [135 / 5000] train loss: 0.019290, val loss: 0.020189
